question,choices,correct,type,model_response,model_response_color,correct_color,accuracy_baseline,accuracy
blue,"['handbag_rot_s_2.jpg', 'handbag_rot_s_10.jpg', 'handbag_rot_s_6.jpg', 'handbag_rot_s_8.jpg']",['handbag_rot_s_6.jpg'],0,0,['red'],['blue'],0.25,0
yellow,"['handbag_rot_s_2.jpg', 'handbag_rot_s_10.jpg', 'handbag_rot_s_6.jpg', 'handbag_rot_s_8.jpg']",['handbag_rot_s_8.jpg'],0,2,['blue'],['yellow'],0.25,0
yellow,"['takeout_container_rot_s_7.jpg', 'takeout_container_rot_s_5.jpg', 'takeout_container_rot_s_1.jpg', 'takeout_container_rot_s_3.jpg', 'takeout_container_rot_s_9.jpg']",['takeout_container_rot_s_7.jpg'],0,4,['green'],['yellow'],0.2,0
blue,"['takeout_container_rot_s_7.jpg', 'takeout_container_rot_s_5.jpg', 'takeout_container_rot_s_1.jpg', 'takeout_container_rot_s_3.jpg', 'takeout_container_rot_s_9.jpg']",['takeout_container_rot_s_5.jpg'],0,1,"['blue', 'green']",['blue'],0.2,1
green,"['takeout_container_rot_s_7.jpg', 'takeout_container_rot_s_5.jpg', 'takeout_container_rot_s_1.jpg', 'takeout_container_rot_s_3.jpg', 'takeout_container_rot_s_9.jpg']","['takeout_container_rot_s_5.jpg', 'takeout_container_rot_s_9.jpg']",0,1,"['blue', 'green']",['green'],0.4,1
pink,"['takeout_container_rot_s_7.jpg', 'takeout_container_rot_s_5.jpg', 'takeout_container_rot_s_1.jpg', 'takeout_container_rot_s_3.jpg', 'takeout_container_rot_s_9.jpg']",['takeout_container_rot_s_1.jpg'],0,4,['green'],['pink'],0.2,0
purple,"['takeout_container_rot_s_7.jpg', 'takeout_container_rot_s_5.jpg', 'takeout_container_rot_s_1.jpg', 'takeout_container_rot_s_3.jpg', 'takeout_container_rot_s_9.jpg']",['takeout_container_rot_s_3.jpg'],0,4,['green'],['purple'],0.2,0
purple,"['cardboard_rot_s_6.jpg', 'cardboard_rot_s_4.jpg', 'cardboard_rot_s_2.jpg', 'cardboard_rot_s_10.jpg', 'cardboard_rot_s_8.jpg']",['cardboard_rot_s_6.jpg'],0,2,['yellow'],['purple'],0.2,0
brown,"['cardboard_rot_s_6.jpg', 'cardboard_rot_s_4.jpg', 'cardboard_rot_s_2.jpg', 'cardboard_rot_s_10.jpg', 'cardboard_rot_s_8.jpg']",['cardboard_rot_s_4.jpg'],0,4,['green'],['brown'],0.2,0
yellow,"['cardboard_rot_s_6.jpg', 'cardboard_rot_s_4.jpg', 'cardboard_rot_s_2.jpg', 'cardboard_rot_s_10.jpg', 'cardboard_rot_s_8.jpg']",['cardboard_rot_s_2.jpg'],0,2,['yellow'],['yellow'],0.2,1
blue,"['cardboard_rot_s_6.jpg', 'cardboard_rot_s_4.jpg', 'cardboard_rot_s_2.jpg', 'cardboard_rot_s_10.jpg', 'cardboard_rot_s_8.jpg']",['cardboard_rot_s_10.jpg'],0,4,['green'],['blue'],0.2,0
green,"['cardboard_rot_s_6.jpg', 'cardboard_rot_s_4.jpg', 'cardboard_rot_s_2.jpg', 'cardboard_rot_s_10.jpg', 'cardboard_rot_s_8.jpg']",['cardboard_rot_s_8.jpg'],0,2,['yellow'],['green'],0.2,0
purple,"['theater_seats_rot_s_3.jpg', 'theater_seats_rot_s_1.jpg', 'theater_seats_rot_s_5.jpg', 'theater_seats_rot_s_9.jpg']",['theater_seats_rot_s_3.jpg'],0,2,['green'],['purple'],0.25,0
pink,"['theater_seats_rot_s_3.jpg', 'theater_seats_rot_s_1.jpg', 'theater_seats_rot_s_5.jpg', 'theater_seats_rot_s_9.jpg']",['theater_seats_rot_s_1.jpg'],0,0,['purple'],['pink'],0.25,0
green,"['theater_seats_rot_s_3.jpg', 'theater_seats_rot_s_1.jpg', 'theater_seats_rot_s_5.jpg', 'theater_seats_rot_s_9.jpg']","['theater_seats_rot_s_5.jpg', 'theater_seats_rot_s_9.jpg']",0,3,"['yellow', 'green']",['green'],0.5,1
yellow,"['theater_seats_rot_s_3.jpg', 'theater_seats_rot_s_1.jpg', 'theater_seats_rot_s_5.jpg', 'theater_seats_rot_s_9.jpg']",['theater_seats_rot_s_9.jpg'],0,0,['purple'],['yellow'],0.25,0
pink,"['gloves_rot_s_8.jpg', 'gloves_rot_s_10.jpg', 'gloves_rot_s_2.jpg', 'gloves_rot_s_6.jpg', 'gloves_rot_s_4.jpg']",['gloves_rot_s_8.jpg'],0,3,['green'],['pink'],0.2,0
red,"['gloves_rot_s_8.jpg', 'gloves_rot_s_10.jpg', 'gloves_rot_s_2.jpg', 'gloves_rot_s_6.jpg', 'gloves_rot_s_4.jpg']",['gloves_rot_s_10.jpg'],0,3,['green'],['red'],0.2,0
brown,"['gloves_rot_s_8.jpg', 'gloves_rot_s_10.jpg', 'gloves_rot_s_2.jpg', 'gloves_rot_s_6.jpg', 'gloves_rot_s_4.jpg']",['gloves_rot_s_10.jpg'],0,0,['pink'],['brown'],0.2,0
blue,"['gloves_rot_s_8.jpg', 'gloves_rot_s_10.jpg', 'gloves_rot_s_2.jpg', 'gloves_rot_s_6.jpg', 'gloves_rot_s_4.jpg']","['gloves_rot_s_2.jpg', 'gloves_rot_s_4.jpg']",0,3,['green'],['blue'],0.4,0
green,"['gloves_rot_s_8.jpg', 'gloves_rot_s_10.jpg', 'gloves_rot_s_2.jpg', 'gloves_rot_s_6.jpg', 'gloves_rot_s_4.jpg']",['gloves_rot_s_6.jpg'],0,3,['green'],['green'],0.2,1
red,"['sponge_rot_s_6.jpg', 'sponge_rot_s_4.jpg', 'sponge_rot_s_2.jpg', 'sponge_rot_s_10.jpg', 'sponge_rot_s_8.jpg']",['sponge_rot_s_6.jpg'],0,2,['green'],['red'],0.2,0
pink,"['sponge_rot_s_6.jpg', 'sponge_rot_s_4.jpg', 'sponge_rot_s_2.jpg', 'sponge_rot_s_10.jpg', 'sponge_rot_s_8.jpg']",['sponge_rot_s_6.jpg'],0,1,['green'],['pink'],0.2,0
green,"['sponge_rot_s_6.jpg', 'sponge_rot_s_4.jpg', 'sponge_rot_s_2.jpg', 'sponge_rot_s_10.jpg', 'sponge_rot_s_8.jpg']","['sponge_rot_s_4.jpg', 'sponge_rot_s_2.jpg']",0,2,['green'],['green'],0.4,1
purple,"['sponge_rot_s_6.jpg', 'sponge_rot_s_4.jpg', 'sponge_rot_s_2.jpg', 'sponge_rot_s_10.jpg', 'sponge_rot_s_8.jpg']",['sponge_rot_s_10.jpg'],0,2,['green'],['purple'],0.2,0
blue,"['sponge_rot_s_6.jpg', 'sponge_rot_s_4.jpg', 'sponge_rot_s_2.jpg', 'sponge_rot_s_10.jpg', 'sponge_rot_s_8.jpg']",['sponge_rot_s_8.jpg'],0,2,['green'],['blue'],0.2,0
pink,"['pail_rot_s_5.jpg', 'pail_rot_s_7.jpg', 'pail_rot_s_1.jpg', 'pail_rot_s_9.jpg']",['pail_rot_s_5.jpg'],0,1,['green'],['pink'],0.25,0
green,"['pail_rot_s_5.jpg', 'pail_rot_s_7.jpg', 'pail_rot_s_1.jpg', 'pail_rot_s_9.jpg']","['pail_rot_s_7.jpg', 'pail_rot_s_1.jpg']",0,2,"['yellow', 'green']",['green'],0.5,1
yellow,"['pail_rot_s_5.jpg', 'pail_rot_s_7.jpg', 'pail_rot_s_1.jpg', 'pail_rot_s_9.jpg']",['pail_rot_s_1.jpg'],0,2,"['yellow', 'green']",['yellow'],0.25,1
blue,"['pail_rot_s_5.jpg', 'pail_rot_s_7.jpg', 'pail_rot_s_1.jpg', 'pail_rot_s_9.jpg']",['pail_rot_s_9.jpg'],0,2,"['yellow', 'green']",['blue'],0.25,0
blue,"['notebook_rot_s_8.jpg', 'notebook_rot_s_10.jpg', 'notebook_rot_s_2.jpg', 'notebook_rot_s_6.jpg', 'notebook_rot_s_4.jpg']",['notebook_rot_s_8.jpg'],0,0,['blue'],['blue'],0.2,1
purple,"['notebook_rot_s_8.jpg', 'notebook_rot_s_10.jpg', 'notebook_rot_s_2.jpg', 'notebook_rot_s_6.jpg', 'notebook_rot_s_4.jpg']",['notebook_rot_s_10.jpg'],0,4,['green'],['purple'],0.2,0
green,"['notebook_rot_s_8.jpg', 'notebook_rot_s_10.jpg', 'notebook_rot_s_2.jpg', 'notebook_rot_s_6.jpg', 'notebook_rot_s_4.jpg']","['notebook_rot_s_2.jpg', 'notebook_rot_s_4.jpg']",0,4,['green'],['green'],0.4,1
red,"['notebook_rot_s_8.jpg', 'notebook_rot_s_10.jpg', 'notebook_rot_s_2.jpg', 'notebook_rot_s_6.jpg', 'notebook_rot_s_4.jpg']",['notebook_rot_s_6.jpg'],0,4,['green'],['red'],0.2,0
brown,"['notebook_rot_s_8.jpg', 'notebook_rot_s_10.jpg', 'notebook_rot_s_2.jpg', 'notebook_rot_s_6.jpg', 'notebook_rot_s_4.jpg']",['notebook_rot_s_6.jpg'],0,3,"['red', 'brown']",['brown'],0.2,1
red,"['razor_rot_s_1.jpg', 'razor_rot_s_3.jpg', 'razor_rot_s_7.jpg', 'razor_rot_s_5.jpg', 'razor_rot_s_9.jpg']",['razor_rot_s_1.jpg'],0,1,['purple'],['red'],0.2,0
purple,"['razor_rot_s_1.jpg', 'razor_rot_s_3.jpg', 'razor_rot_s_7.jpg', 'razor_rot_s_5.jpg', 'razor_rot_s_9.jpg']",['razor_rot_s_3.jpg'],0,1,['purple'],['purple'],0.2,1
yellow,"['razor_rot_s_1.jpg', 'razor_rot_s_3.jpg', 'razor_rot_s_7.jpg', 'razor_rot_s_5.jpg', 'razor_rot_s_9.jpg']",['razor_rot_s_7.jpg'],0,1,['purple'],['yellow'],0.2,0
green,"['razor_rot_s_1.jpg', 'razor_rot_s_3.jpg', 'razor_rot_s_7.jpg', 'razor_rot_s_5.jpg', 'razor_rot_s_9.jpg']","['razor_rot_s_7.jpg', 'razor_rot_s_9.jpg']",0,1,['purple'],['green'],0.4,0
blue,"['razor_rot_s_1.jpg', 'razor_rot_s_3.jpg', 'razor_rot_s_7.jpg', 'razor_rot_s_5.jpg', 'razor_rot_s_9.jpg']",['razor_rot_s_5.jpg'],0,0,['red'],['blue'],0.2,0
purple,"['notebook_rot_s_9.jpg', 'notebook_rot_s_1.jpg', 'notebook_rot_s_3.jpg', 'notebook_rot_s_7.jpg', 'notebook_rot_s_5.jpg']",['notebook_rot_s_9.jpg'],0,0,['purple'],['purple'],0.2,1
green,"['notebook_rot_s_9.jpg', 'notebook_rot_s_1.jpg', 'notebook_rot_s_3.jpg', 'notebook_rot_s_7.jpg', 'notebook_rot_s_5.jpg']","['notebook_rot_s_1.jpg', 'notebook_rot_s_3.jpg']",0,1,['green'],['green'],0.4,1
blue,"['notebook_rot_s_9.jpg', 'notebook_rot_s_1.jpg', 'notebook_rot_s_3.jpg', 'notebook_rot_s_7.jpg', 'notebook_rot_s_5.jpg']",['notebook_rot_s_7.jpg'],0,2,['green'],['blue'],0.2,0
red,"['notebook_rot_s_9.jpg', 'notebook_rot_s_1.jpg', 'notebook_rot_s_3.jpg', 'notebook_rot_s_7.jpg', 'notebook_rot_s_5.jpg']",['notebook_rot_s_5.jpg'],0,2,['green'],['red'],0.2,0
brown,"['notebook_rot_s_9.jpg', 'notebook_rot_s_1.jpg', 'notebook_rot_s_3.jpg', 'notebook_rot_s_7.jpg', 'notebook_rot_s_5.jpg']",['notebook_rot_s_5.jpg'],0,0,['purple'],['brown'],0.2,0
pink,"['pail_rot_s_6.jpg', 'pail_rot_s_2.jpg', 'pail_rot_s_10.jpg', 'pail_rot_s_8.jpg']",['pail_rot_s_6.jpg'],0,2,"['blue', 'purple']",['pink'],0.25,0
yellow,"['pail_rot_s_6.jpg', 'pail_rot_s_2.jpg', 'pail_rot_s_10.jpg', 'pail_rot_s_8.jpg']",['pail_rot_s_2.jpg'],0,1,"['yellow', 'green']",['yellow'],0.25,1
green,"['pail_rot_s_6.jpg', 'pail_rot_s_2.jpg', 'pail_rot_s_10.jpg', 'pail_rot_s_8.jpg']","['pail_rot_s_2.jpg', 'pail_rot_s_8.jpg']",0,0,['pink'],['green'],0.5,0
blue,"['pail_rot_s_6.jpg', 'pail_rot_s_2.jpg', 'pail_rot_s_10.jpg', 'pail_rot_s_8.jpg']",['pail_rot_s_10.jpg'],0,1,"['yellow', 'green']",['blue'],0.25,0
purple,"['pail_rot_s_6.jpg', 'pail_rot_s_2.jpg', 'pail_rot_s_10.jpg', 'pail_rot_s_8.jpg']",['pail_rot_s_10.jpg'],0,1,"['yellow', 'green']",['purple'],0.25,0
blue,"['sponge_rot_s_7.jpg', 'sponge_rot_s_5.jpg', 'sponge_rot_s_1.jpg', 'sponge_rot_s_3.jpg', 'sponge_rot_s_9.jpg']",['sponge_rot_s_7.jpg'],0,4,['purple'],['blue'],0.2,0
red,"['sponge_rot_s_7.jpg', 'sponge_rot_s_5.jpg', 'sponge_rot_s_1.jpg', 'sponge_rot_s_3.jpg', 'sponge_rot_s_9.jpg']",['sponge_rot_s_5.jpg'],0,2,['green'],['red'],0.2,0
pink,"['sponge_rot_s_7.jpg', 'sponge_rot_s_5.jpg', 'sponge_rot_s_1.jpg', 'sponge_rot_s_3.jpg', 'sponge_rot_s_9.jpg']",['sponge_rot_s_5.jpg'],0,0,['blue'],['pink'],0.2,0
green,"['sponge_rot_s_7.jpg', 'sponge_rot_s_5.jpg', 'sponge_rot_s_1.jpg', 'sponge_rot_s_3.jpg', 'sponge_rot_s_9.jpg']","['sponge_rot_s_1.jpg', 'sponge_rot_s_3.jpg']",0,4,['purple'],['green'],0.4,0
purple,"['sponge_rot_s_7.jpg', 'sponge_rot_s_5.jpg', 'sponge_rot_s_1.jpg', 'sponge_rot_s_3.jpg', 'sponge_rot_s_9.jpg']",['sponge_rot_s_9.jpg'],0,4,['purple'],['purple'],0.2,1
brown,"['gloves_rot_s_9.jpg', 'gloves_rot_s_1.jpg', 'gloves_rot_s_3.jpg', 'gloves_rot_s_7.jpg', 'gloves_rot_s_5.jpg']",['gloves_rot_s_9.jpg'],0,0,['brown'],['brown'],0.2,1
blue,"['gloves_rot_s_9.jpg', 'gloves_rot_s_1.jpg', 'gloves_rot_s_3.jpg', 'gloves_rot_s_7.jpg', 'gloves_rot_s_5.jpg']","['gloves_rot_s_1.jpg', 'gloves_rot_s_3.jpg']",0,2,['blue'],['blue'],0.4,1
pink,"['gloves_rot_s_9.jpg', 'gloves_rot_s_1.jpg', 'gloves_rot_s_3.jpg', 'gloves_rot_s_7.jpg', 'gloves_rot_s_5.jpg']",['gloves_rot_s_7.jpg'],0,4,['green'],['pink'],0.2,0
green,"['gloves_rot_s_9.jpg', 'gloves_rot_s_1.jpg', 'gloves_rot_s_3.jpg', 'gloves_rot_s_7.jpg', 'gloves_rot_s_5.jpg']",['gloves_rot_s_5.jpg'],0,0,['brown'],['green'],0.2,0
pink,"['theater_seats_rot_s_2.jpg', 'theater_seats_rot_s_4.jpg', 'theater_seats_rot_s_6.jpg', 'theater_seats_rot_s_10.jpg']",['theater_seats_rot_s_2.jpg'],0,1,['purple'],['pink'],0.25,0
purple,"['theater_seats_rot_s_2.jpg', 'theater_seats_rot_s_4.jpg', 'theater_seats_rot_s_6.jpg', 'theater_seats_rot_s_10.jpg']",['theater_seats_rot_s_4.jpg'],0,0,['pink'],['purple'],0.25,0
green,"['theater_seats_rot_s_2.jpg', 'theater_seats_rot_s_4.jpg', 'theater_seats_rot_s_6.jpg', 'theater_seats_rot_s_10.jpg']","['theater_seats_rot_s_6.jpg', 'theater_seats_rot_s_10.jpg']",0,0,['pink'],['green'],0.5,0
yellow,"['theater_seats_rot_s_2.jpg', 'theater_seats_rot_s_4.jpg', 'theater_seats_rot_s_6.jpg', 'theater_seats_rot_s_10.jpg']",['theater_seats_rot_s_10.jpg'],0,1,['purple'],['yellow'],0.25,0
green,"['fuel_tank_rot_s_1.jpg', 'fuel_tank_rot_s_3.jpg', 'fuel_tank_rot_s_7.jpg', 'fuel_tank_rot_s_5.jpg', 'fuel_tank_rot_s_9.jpg']","['fuel_tank_rot_s_1.jpg', 'fuel_tank_rot_s_3.jpg']",0,0,['green'],['green'],0.4,1
yellow,"['fuel_tank_rot_s_1.jpg', 'fuel_tank_rot_s_3.jpg', 'fuel_tank_rot_s_7.jpg', 'fuel_tank_rot_s_5.jpg', 'fuel_tank_rot_s_9.jpg']",['fuel_tank_rot_s_3.jpg'],0,0,['green'],['yellow'],0.2,0
blue,"['fuel_tank_rot_s_1.jpg', 'fuel_tank_rot_s_3.jpg', 'fuel_tank_rot_s_7.jpg', 'fuel_tank_rot_s_5.jpg', 'fuel_tank_rot_s_9.jpg']",['fuel_tank_rot_s_7.jpg'],0,2,['blue'],['blue'],0.2,1
red,"['fuel_tank_rot_s_1.jpg', 'fuel_tank_rot_s_3.jpg', 'fuel_tank_rot_s_7.jpg', 'fuel_tank_rot_s_5.jpg', 'fuel_tank_rot_s_9.jpg']",['fuel_tank_rot_s_5.jpg'],0,0,['green'],['red'],0.2,0
pink,"['fuel_tank_rot_s_1.jpg', 'fuel_tank_rot_s_3.jpg', 'fuel_tank_rot_s_7.jpg', 'fuel_tank_rot_s_5.jpg', 'fuel_tank_rot_s_9.jpg']",['fuel_tank_rot_s_5.jpg'],0,2,['blue'],['pink'],0.2,0
purple,"['fuel_tank_rot_s_1.jpg', 'fuel_tank_rot_s_3.jpg', 'fuel_tank_rot_s_7.jpg', 'fuel_tank_rot_s_5.jpg', 'fuel_tank_rot_s_9.jpg']",['fuel_tank_rot_s_9.jpg'],0,0,['green'],['purple'],0.2,0
green,"['cardboard_rot_s_7.jpg', 'cardboard_rot_s_5.jpg', 'cardboard_rot_s_1.jpg', 'cardboard_rot_s_3.jpg', 'cardboard_rot_s_9.jpg']",['cardboard_rot_s_7.jpg'],0,3,['brown'],['green'],0.2,0
purple,"['cardboard_rot_s_7.jpg', 'cardboard_rot_s_5.jpg', 'cardboard_rot_s_1.jpg', 'cardboard_rot_s_3.jpg', 'cardboard_rot_s_9.jpg']",['cardboard_rot_s_5.jpg'],0,4,['blue'],['purple'],0.2,0
yellow,"['cardboard_rot_s_7.jpg', 'cardboard_rot_s_5.jpg', 'cardboard_rot_s_1.jpg', 'cardboard_rot_s_3.jpg', 'cardboard_rot_s_9.jpg']",['cardboard_rot_s_1.jpg'],0,0,['green'],['yellow'],0.2,0
brown,"['cardboard_rot_s_7.jpg', 'cardboard_rot_s_5.jpg', 'cardboard_rot_s_1.jpg', 'cardboard_rot_s_3.jpg', 'cardboard_rot_s_9.jpg']",['cardboard_rot_s_3.jpg'],0,3,['brown'],['brown'],0.2,1
blue,"['cardboard_rot_s_7.jpg', 'cardboard_rot_s_5.jpg', 'cardboard_rot_s_1.jpg', 'cardboard_rot_s_3.jpg', 'cardboard_rot_s_9.jpg']",['cardboard_rot_s_9.jpg'],0,0,['green'],['blue'],0.2,0
blue,"['takeout_container_rot_s_6.jpg', 'takeout_container_rot_s_4.jpg', 'takeout_container_rot_s_2.jpg', 'takeout_container_rot_s_10.jpg', 'takeout_container_rot_s_8.jpg']",['takeout_container_rot_s_6.jpg'],0,0,"['blue', 'green']",['blue'],0.2,1
green,"['takeout_container_rot_s_6.jpg', 'takeout_container_rot_s_4.jpg', 'takeout_container_rot_s_2.jpg', 'takeout_container_rot_s_10.jpg', 'takeout_container_rot_s_8.jpg']","['takeout_container_rot_s_6.jpg', 'takeout_container_rot_s_10.jpg']",0,0,"['blue', 'green']",['green'],0.4,1
purple,"['takeout_container_rot_s_6.jpg', 'takeout_container_rot_s_4.jpg', 'takeout_container_rot_s_2.jpg', 'takeout_container_rot_s_10.jpg', 'takeout_container_rot_s_8.jpg']",['takeout_container_rot_s_4.jpg'],0,0,"['blue', 'green']",['purple'],0.2,0
pink,"['takeout_container_rot_s_6.jpg', 'takeout_container_rot_s_4.jpg', 'takeout_container_rot_s_2.jpg', 'takeout_container_rot_s_10.jpg', 'takeout_container_rot_s_8.jpg']",['takeout_container_rot_s_2.jpg'],0,3,['green'],['pink'],0.2,0
yellow,"['takeout_container_rot_s_6.jpg', 'takeout_container_rot_s_4.jpg', 'takeout_container_rot_s_2.jpg', 'takeout_container_rot_s_10.jpg', 'takeout_container_rot_s_8.jpg']",['takeout_container_rot_s_8.jpg'],0,2,['pink'],['yellow'],0.2,0
pink,"['handbag_rot_s_3.jpg', 'handbag_rot_s_1.jpg', 'handbag_rot_s_5.jpg', 'handbag_rot_s_7.jpg', 'handbag_rot_s_9.jpg']",['handbag_rot_s_3.jpg'],0,3,['yellow'],['pink'],0.2,0
red,"['handbag_rot_s_3.jpg', 'handbag_rot_s_1.jpg', 'handbag_rot_s_5.jpg', 'handbag_rot_s_7.jpg', 'handbag_rot_s_9.jpg']",['handbag_rot_s_1.jpg'],0,0,['pink'],['red'],0.2,0
blue,"['handbag_rot_s_3.jpg', 'handbag_rot_s_1.jpg', 'handbag_rot_s_5.jpg', 'handbag_rot_s_7.jpg', 'handbag_rot_s_9.jpg']",['handbag_rot_s_5.jpg'],0,4,['green'],['blue'],0.2,0
yellow,"['handbag_rot_s_3.jpg', 'handbag_rot_s_1.jpg', 'handbag_rot_s_5.jpg', 'handbag_rot_s_7.jpg', 'handbag_rot_s_9.jpg']",['handbag_rot_s_7.jpg'],0,2,['blue'],['yellow'],0.2,0
green,"['handbag_rot_s_3.jpg', 'handbag_rot_s_1.jpg', 'handbag_rot_s_5.jpg', 'handbag_rot_s_7.jpg', 'handbag_rot_s_9.jpg']",['handbag_rot_s_9.jpg'],0,1,['red'],['green'],0.2,0
